date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_year,processed_log_return_wtmra_0_month,processed_log_return_wtmra_0_day,processed_log_return_wtmra_0_hour,processed_log_return_wtmra_0_dayofweek,processed_log_return_wtmra_0_dayofyear,processed_log_return_wtmra_0_days_in_month
2021-12-31 01:00:00,-0.2133315775390283,2021,12,31,1,4,365,31
2021-12-31 02:00:00,0.3557418991973863,2021,12,31,2,4,365,31
2021-12-31 03:00:00,-0.3609510810064348,2021,12,31,3,4,365,31
2021-12-31 04:00:00,0.1864229917867188,2021,12,31,4,4,365,31
2021-12-31 05:00:00,0.0267927429981792,2021,12,31,5,4,365,31
2021-12-31 06:00:00,-0.0594490949340105,2021,12,31,6,4,365,31
2021-12-31 07:00:00,0.0202437968816183,2021,12,31,7,4,365,31
2021-12-31 08:00:00,-0.2959911479961906,2021,12,31,8,4,365,31
2021-12-31 09:00:00,0.6230255617988116,2021,12,31,9,4,365,31
2021-12-31 10:00:00,-0.42399182179026,2021,12,31,10,4,365,31
2021-12-31 11:00:00,-0.0095315464809487,2021,12,31,11,4,365,31
2021-12-31 12:00:00,0.1206277520314009,2021,12,31,12,4,365,31
2021-12-31 13:00:00,0.0156289472513614,2021,12,31,13,4,365,31
2021-12-31 14:00:00,-0.0848371197990055,2021,12,31,14,4,365,31
2021-12-31 15:00:00,-0.0688841711163036,2021,12,31,15,4,365,31
2021-12-31 16:00:00,0.3302416286067544,2021,12,31,16,4,365,31
2021-12-31 17:00:00,-0.3704621726678333,2021,12,31,17,4,365,31
2021-12-31 18:00:00,0.1105883276204485,2021,12,31,18,4,365,31
2021-12-31 19:00:00,0.2999831908745419,2021,12,31,19,4,365,31
2021-12-31 20:00:00,-0.5298461487377748,2021,12,31,20,4,365,31
2021-12-31 21:00:00,0.1421490886837716,2021,12,31,21,4,365,31
2021-12-31 22:00:00,0.4222388169154386,2021,12,31,22,4,365,31
2021-12-31 23:00:00,-0.3535815267785943,2021,12,31,23,4,365,31
2022-01-01 00:00:00,-0.17950685590584,2022,1,1,0,5,1,31
2022-01-01 01:00:00,0.4710640842794011,2022,1,1,1,5,1,31
2022-01-01 02:00:00,-0.2918610825280678,2022,1,1,2,5,1,31
2022-01-01 03:00:00,0.0237317711201847,2022,1,1,3,5,1,31
2022-01-01 04:00:00,0.181426228123972,2022,1,1,4,5,1,31
2022-01-01 05:00:00,-0.4480192666859248,2022,1,1,5,5,1,31
2022-01-01 06:00:00,0.5632874259330863,2022,1,1,6,5,1,31
2022-01-01 07:00:00,-0.4176640980768724,2022,1,1,7,5,1,31
2022-01-01 08:00:00,0.1865849266815994,2022,1,1,8,5,1,31
2022-01-01 09:00:00,-0.0350878334822916,2022,1,1,9,5,1,31
2022-01-01 10:00:00,0.1015768098877713,2022,1,1,10,5,1,31
2022-01-01 11:00:00,-0.1919309072023614,2022,1,1,11,5,1,31
2022-01-01 12:00:00,0.0080967313766186,2022,1,1,12,5,1,31
2022-01-01 13:00:00,0.1950365189863439,2022,1,1,13,5,1,31
2022-01-01 14:00:00,-0.1004725505641162,2022,1,1,14,5,1,31
2022-01-01 15:00:00,-0.073098925965653,2022,1,1,15,5,1,31
2022-01-01 16:00:00,0.1000777856836221,2022,1,1,16,5,1,31
2022-01-01 17:00:00,-0.1227886192259984,2022,1,1,17,5,1,31
2022-01-01 18:00:00,0.2014604264246021,2022,1,1,18,5,1,31
2022-01-01 19:00:00,-0.150333729804811,2022,1,1,19,5,1,31
2022-01-01 20:00:00,5.0543362699973246e-05,2022,1,1,20,5,1,31
2022-01-01 21:00:00,0.0347056607141565,2022,1,1,21,5,1,31
2022-01-01 22:00:00,-0.0303273925518218,2022,1,1,22,5,1,31
2022-01-01 23:00:00,0.0150393939402106,2022,1,1,23,5,1,31
2022-01-02 00:00:00,0.1037241715226197,2022,1,2,0,6,2,31
2022-01-02 01:00:00,-1.5619050146816017e-06,2022,1,2,1,6,2,31
2022-01-02 02:00:00,-0.3082349558365436,2022,1,2,2,6,2,31
2022-01-02 03:00:00,0.2822506493126552,2022,1,2,3,6,2,31
2022-01-02 04:00:00,0.0244832373371199,2022,1,2,4,6,2,31
2022-01-02 05:00:00,-0.2086005292662422,2022,1,2,5,6,2,31
2022-01-02 06:00:00,0.1525313312945786,2022,1,2,6,6,2,31
2022-01-02 07:00:00,0.0240275112800667,2022,1,2,7,6,2,31
2022-01-02 08:00:00,-0.1068534469295187,2022,1,2,8,6,2,31
2022-01-02 09:00:00,0.0639027805719755,2022,1,2,9,6,2,31
2022-01-02 10:00:00,-0.0231160879873414,2022,1,2,10,6,2,31
2022-01-02 11:00:00,0.008832752073905,2022,1,2,11,6,2,31
2022-01-02 12:00:00,-0.037201319425115,2022,1,2,12,6,2,31
2022-01-02 13:00:00,0.176257786813543,2022,1,2,13,6,2,31
2022-01-02 14:00:00,-0.2456365454201528,2022,1,2,14,6,2,31
