initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,1080,2022-01-01,2024-12-16,9.36639158916008,7.098176650598206,0.9949772765591971,0.04907621134007543,0.012226064542810215,2.364759417762753e-05,911,239,2
24,1080,2022-01-25,2025-01-09,9.370114410298646,7.117338961848366,0.9949772765591971,0.04907621134007543,0.010739981096325327,2.364759417762753e-05,911,240,2
48,1080,2022-02-18,2025-02-02,9.365197778834519,7.079649812045339,0.996003626593458,0.04907621134007543,0.010971515682507912,2.9963529224919558e-05,911,237,2
72,1080,2022-03-14,2025-02-26,9.346753986842964,7.076529082904494,1.5520103462003687,0.04907621134007543,0.010885985801319038,3.160290715822895e-05,911,231,3
96,1080,2022-04-07,2025-03-22,9.335696094870901,7.085488455531677,1.8653174919602664,0.04907621134007543,0.010904938966559816,3.19012590491719e-05,911,240,4
120,1080,2022-05-01,2025-04-15,9.337092061620002,7.056824994047309,1.8653174919602664,0.04907621134007543,0.011024338246592633,3.19012590491719e-05,911,241,4
144,1080,2022-05-25,2025-05-09,9.33757684765108,7.1192288402526644,1.8653174919602664,0.03623357628648388,0.00742098318097845,3.19012590491719e-05,911,241,4
168,1080,2022-06-18,2025-06-02,9.337943610337799,7.17096859309447,1.8653174919602664,0.03623357628648388,0.007372206054091589,3.19012590491719e-05,911,248,4
192,1080,2022-07-12,2025-06-26,9.325415169908045,7.196583102861725,1.926248892131061,0.03623357628648388,0.007588522796814457,2.9855383762821385e-05,911,249,4
216,1080,2022-08-05,2025-07-20,9.317349584248754,7.145586057709119,0.98057604913181,0.03623357628648388,0.008988475251816803,0.0,911,246,2
