initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,504,2021-12-31 01:00:00,2022-01-21 01:00:00,8.030713176711096,5.720101359496297,0.0,0.037955311255725085,0.006995285207374692,6.918113877571547e-06,335,83,1
24,504,2022-01-01 01:00:00,2022-01-22 01:00:00,7.967575525332165,5.74038768985525,0.0,0.049016175044128286,0.007591180764026795,6.918113877571547e-06,335,86,1
48,504,2022-01-02 01:00:00,2022-01-23 01:00:00,7.992278265770588,5.562156648049471,0.7330421990112482,0.037955311255725085,0.010919210967655234,5.1169483913455664e-05,335,80,2
72,504,2022-01-03 01:00:00,2022-01-24 01:00:00,8.010749644309358,5.764880678746249,-1.0,0.037955311255725085,0.006891620598651113,0.0,335,84,0
96,504,2022-01-04 01:00:00,2022-01-25 01:00:00,8.024045556166321,5.853809678678496,-1.0,0.031158387284660673,0.008788355716442603,0.0,335,88,0
120,504,2022-01-05 01:00:00,2022-01-26 01:00:00,8.031899696502846,5.739957926097421,-1.0,0.04488586650254754,0.01000267633074481,0.0,335,83,0
144,504,2022-01-06 01:00:00,2022-01-27 01:00:00,8.044258682512307,5.724079752585602,-1.0,0.04488586650254754,0.01282479393547064,0.0,335,84,0
168,504,2022-01-07 01:00:00,2022-01-28 01:00:00,8.050834497102304,5.846931548366769,-1.0,0.05799701575325342,0.011959470884848606,0.0,335,89,0
192,504,2022-01-08 01:00:00,2022-01-29 01:00:00,8.02798508544333,5.831242171762178,-1.0,0.04157751048844859,0.008843670387086465,0.0,335,83,0
216,504,2022-01-09 01:00:00,2022-01-30 01:00:00,8.03704796766077,5.748518545032091,-1.0,0.04097255941418804,0.010304804446447323,0.0,335,82,0
240,504,2022-01-10 01:00:00,2022-01-31 01:00:00,8.047823972760703,5.859203647611879,0.0,0.04097255941418804,0.01003331121968814,2.861733380738585e-05,335,85,1
264,504,2022-01-11 01:00:00,2022-02-01 01:00:00,8.063837979318894,5.66471559540797,0.0,0.0469294196732012,0.012151571646074595,7.667834541368683e-05,335,79,1
288,504,2022-01-12 01:00:00,2022-02-02 01:00:00,8.060772427723828,5.657736944727391,0.7757015774548334,0.0469294196732012,0.012418612043915223,7.936767824563686e-05,335,84,2
312,504,2022-01-13 01:00:00,2022-02-03 01:00:00,8.061664564215123,5.741288187676976,0.0,0.0469294196732012,0.011104833589791765,1.237826648363549e-05,335,81,1
336,504,2022-01-14 01:00:00,2022-02-04 01:00:00,8.048788135998457,5.6618311545004545,-1.0,0.0469294196732012,0.01113478980841154,0.0,335,76,0
360,504,2022-01-15 01:00:00,2022-02-05 01:00:00,8.038100242423498,5.773115300695528,-1.0,0.0469294196732012,0.010383078706375013,0.0,335,84,0
384,504,2022-01-16 01:00:00,2022-02-06 01:00:00,8.052982044799966,5.729227146288438,-1.0,0.0469294196732012,0.012301885072149106,0.0,335,84,0
408,504,2022-01-17 01:00:00,2022-02-07 01:00:00,8.03740580959926,5.7089327236443355,0.0,0.0469294196732012,0.009932995746164151,2.7307651075148623e-05,335,83,1
432,504,2022-01-18 01:00:00,2022-02-08 01:00:00,8.041778087839061,5.752155145166226,0.0,0.0469294196732012,0.007688999963995142,2.7307651075148623e-05,335,81,1
456,504,2022-01-19 01:00:00,2022-02-09 01:00:00,8.027636515316715,5.70460110367346,-1.0,0.0469294196732012,0.007851400857860793,0.0,335,88,0
480,504,2022-01-20 01:00:00,2022-02-10 01:00:00,8.010173406848383,5.761787733580259,-1.0,0.0469294196732012,0.007355904276210473,0.0,335,86,0
504,504,2022-01-21 01:00:00,2022-02-11 01:00:00,7.986873381225792,5.824713490476709,-1.0,0.0469294196732012,0.007843866378436289,0.0,335,85,0
528,504,2022-01-22 01:00:00,2022-02-12 01:00:00,8.026303183855873,5.736506704944346,-1.0,0.029239847658512584,0.007351384756738496,0.0,335,82,0
552,504,2022-01-23 01:00:00,2022-02-13 01:00:00,8.030623785534042,5.729108709061715,-1.0,0.030266449590200434,0.006916910183537246,0.0,335,80,0
576,504,2022-01-24 01:00:00,2022-02-14 01:00:00,8.037941465214594,5.609405565921668,-1.0,0.030266449590200434,0.007563542395131128,0.0,335,74,0
600,504,2022-01-25 01:00:00,2022-02-15 01:00:00,8.051498071120598,5.456349077942783,-1.0,0.029239847658512584,0.0062585469791069034,0.0,335,71,0
624,504,2022-01-26 01:00:00,2022-02-16 01:00:00,8.049896871698188,5.6150453188808385,0.0,0.029261084266239412,0.0067619487800318874,3.549166321363207e-05,335,76,1
648,504,2022-01-27 01:00:00,2022-02-17 01:00:00,8.03290416312627,5.509101864918341,-1.0,0.03502824054314326,0.006643784919699982,0.0,335,73,0
672,504,2022-01-28 01:00:00,2022-02-18 01:00:00,8.040210698680403,5.474532009158452,0.0,0.03502824054314326,0.00629003933475701,1.6772079223474e-05,335,71,1
696,504,2022-01-29 01:00:00,2022-02-19 01:00:00,8.045645100330736,5.564295918811743,-1.0,0.03502824054314326,0.0063635678544057385,0.0,335,71,0
720,504,2022-01-30 01:00:00,2022-02-20 01:00:00,8.038246995219284,5.548286631422042,-1.0,0.036717948735231314,0.00747331842458898,0.0,335,75,0
744,504,2022-01-31 01:00:00,2022-02-21 01:00:00,8.017826825493014,5.6888100738207985,-1.0,0.036717948735231314,0.0063822259927273925,0.0,335,75,0
768,504,2022-02-01 01:00:00,2022-02-22 01:00:00,8.028833361356078,5.752615596759431,0.0,0.03232311912106472,0.006597206337340472,2.4413531049537525e-06,335,79,1
792,504,2022-02-02 01:00:00,2022-02-23 01:00:00,8.029725442796789,5.734799649182014,-1.0,0.03241176878725151,0.006966576920369397,0.0,335,76,0
816,504,2022-02-03 01:00:00,2022-02-24 01:00:00,8.05517159172784,5.846719145221604,-1.0,0.03241176878725151,0.007861671531345952,0.0,335,83,0
840,504,2022-02-04 01:00:00,2022-02-25 01:00:00,8.024360305667454,5.940062703615566,0.0,0.04602756747284882,0.006359746643531782,1.2558010962034227e-05,335,86,1
864,504,2022-02-05 01:00:00,2022-02-26 01:00:00,8.048658200927372,5.722292589865289,0.0,0.04602756747284882,0.009505883872325831,1.2558010962034227e-05,335,82,1
888,504,2022-02-06 01:00:00,2022-02-27 01:00:00,8.069102515189408,5.624979755568874,0.0,0.04602756747284882,0.00957501015334657,1.2558010962034227e-05,335,82,1
912,504,2022-02-07 01:00:00,2022-02-28 01:00:00,8.036585461083686,5.700661454533945,-1.0,0.04814014626978025,0.008651277763308669,0.0,335,82,0
936,504,2022-02-08 01:00:00,2022-03-01 01:00:00,8.025342516738212,5.584696367110398,-1.0,0.04814014626978025,0.014614301961997703,0.0,335,79,0
960,504,2022-02-09 01:00:00,2022-03-02 01:00:00,8.042066931393453,5.806726960351928,-1.0,0.04814014626978025,0.013681555094358233,0.0,335,89,0
984,504,2022-02-10 01:00:00,2022-03-03 01:00:00,8.092683169979608,5.910620605608764,-1.0,0.04484670795657097,0.010084453407427215,0.0,335,88,0
1008,504,2022-02-11 01:00:00,2022-03-04 01:00:00,8.108124520591543,5.923441817492087,-1.0,0.04484670795657097,0.010330597234014131,0.0,335,91,0
1032,504,2022-02-12 01:00:00,2022-03-05 01:00:00,8.087668291239025,5.865031148338659,0.0,0.04826113075746596,0.009285177031948227,7.355376584672755e-06,335,86,1
1056,504,2022-02-13 01:00:00,2022-03-06 01:00:00,8.079521413196169,5.779194839084901,0.0,0.04826113075746596,0.012503969502659907,7.355376584672755e-06,335,85,1
1080,504,2022-02-14 01:00:00,2022-03-07 01:00:00,8.061721288613317,5.694615017040804,0.0,0.04826113075746596,0.012056433675657653,7.355376584672755e-06,335,83,1
1104,504,2022-02-15 01:00:00,2022-03-08 01:00:00,8.059361444217593,5.697273443000634,0.7924713342587265,0.04826113075746596,0.012728543505219101,3.985684792781801e-05,335,81,2
1128,504,2022-02-16 01:00:00,2022-03-09 01:00:00,8.051611596362571,5.759602408726121,0.0,0.04826113075746596,0.012352042174471688,7.355376584672755e-06,335,85,1
1152,504,2022-02-17 01:00:00,2022-03-10 01:00:00,8.037246857350038,5.704408734871319,-1.0,0.04826113075746596,0.010742740138667207,0.0,335,78,0
1176,504,2022-02-18 01:00:00,2022-03-11 01:00:00,8.01245037956848,5.687313983517252,-1.0,0.0856758068370614,0.011321537796858305,0.0,335,80,0
1200,504,2022-02-19 01:00:00,2022-03-12 01:00:00,8.000533657502514,5.689593006229472,-1.0,0.10014384430749501,0.01230267459297522,0.0,335,82,0
1224,504,2022-02-20 01:00:00,2022-03-13 01:00:00,7.99121452248701,5.683195273234443,0.676789116662166,0.10014384430749501,0.012892841534867859,2.5235890001926315e-05,335,84,2
