initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,168,2021-12-31 01:00:00,2022-01-07 01:00:00,6.487441668663462,4.071342740512486,-1.0,0.047794968798315275,0.008566825673244094,0.0,119,28,0
24,168,2022-01-01 01:00:00,2022-01-08 01:00:00,6.523941922887512,4.06041197491277,-1.0,0.047794968798315275,0.007567411446882123,0.0,119,26,0
48,168,2022-01-02 01:00:00,2022-01-09 01:00:00,6.59598781416373,3.9847436380256545,-1.0,0.035739328232222506,0.010026308499927503,0.0,119,27,0
72,168,2022-01-03 01:00:00,2022-01-10 01:00:00,6.5879093902045796,3.7804023557347817,-1.0,0.05025244335008227,0.01580621943206408,0.0,119,19,0
96,168,2022-01-04 01:00:00,2022-01-11 01:00:00,6.580653351400881,3.8530115750390483,-1.0,0.05025244335008227,0.018335570024949146,0.0,119,22,0
120,168,2022-01-05 01:00:00,2022-01-12 01:00:00,6.501965023381768,4.213788282494602,-1.0,0.05056700082796032,0.010021338971759733,0.0,119,27,0
144,168,2022-01-06 01:00:00,2022-01-13 01:00:00,6.474933493036979,4.197674820784035,-1.0,0.08255232778748019,0.010127248030868506,0.0,119,29,0
168,168,2022-01-07 01:00:00,2022-01-14 01:00:00,6.497416795475427,4.215309940460165,-1.0,0.05612231439035252,0.005285733678635312,0.0,119,26,0
192,168,2022-01-08 01:00:00,2022-01-15 01:00:00,6.534535903876203,4.098769943305419,-1.0,0.06329790264890033,0.007710755193577022,0.0,119,24,0
216,168,2022-01-09 01:00:00,2022-01-16 01:00:00,6.60301769658389,3.746237690020368,-1.0,0.05060353272326836,0.009361877176704163,0.0,119,19,0
240,168,2022-01-10 01:00:00,2022-01-17 01:00:00,6.578804833814885,4.016183951858129,-1.0,0.05284116334358988,0.005477415816446474,0.0,119,23,0
264,168,2022-01-11 01:00:00,2022-01-18 01:00:00,6.56990349819637,3.6911770544157805,0.5523259511080434,0.056144720184477845,0.011449582157383814,0.000224496761859979,119,20,2
288,168,2022-01-12 01:00:00,2022-01-19 01:00:00,6.498635136431512,3.6162651692065944,0.0,0.06845481488157419,0.012011574679227982,2.445363603766006e-06,119,23,1
312,168,2022-01-13 01:00:00,2022-01-20 01:00:00,6.492708566712548,3.8648997578662834,-1.0,0.06845481488157419,0.01179238636259198,0.0,119,24,0
336,168,2022-01-14 01:00:00,2022-01-21 01:00:00,6.442678400154397,3.771023226677364,0.9766192411969715,0.12916043270880403,0.01474463143385141,2.311348849784057e-05,119,23,2
360,168,2022-01-15 01:00:00,2022-01-22 01:00:00,6.449724184578136,3.5621572684739893,-1.0,0.12916043270880403,0.015300376426338743,0.0,119,20,0
384,168,2022-01-16 01:00:00,2022-01-23 01:00:00,6.508117975254417,4.0869158346609264,0.0,0.12916043270880403,0.012859276500228445,2.4145520725909444e-05,119,24,1
408,168,2022-01-17 01:00:00,2022-01-24 01:00:00,6.60649601952741,4.382388311888915,-1.0,0.07000839082486181,0.01119745091913799,0.0,119,27,0
432,168,2022-01-18 01:00:00,2022-01-25 01:00:00,6.580985189145544,4.079461231346549,-1.0,0.08186883953175615,0.028613575620996947,0.0,119,25,0
456,168,2022-01-19 01:00:00,2022-01-26 01:00:00,6.607011140920236,4.108439723759811,-1.0,0.08186883953175615,0.01893140788886602,0.0,119,26,0
480,168,2022-01-20 01:00:00,2022-01-27 01:00:00,6.653886350176165,4.092585243591933,-1.0,0.056447718444600045,0.02397453012326875,0.0,119,26,0
504,168,2022-01-21 01:00:00,2022-01-28 01:00:00,6.645060454018711,3.895040790879132,-1.0,0.056447718444600045,0.020196048380349125,0.0,119,22,0
528,168,2022-01-22 01:00:00,2022-01-29 01:00:00,6.591489932850884,3.9403594705051916,-1.0,0.06400093219112814,0.012748919138526273,0.0,119,24,0
552,168,2022-01-23 01:00:00,2022-01-30 01:00:00,6.622059763945858,3.698588585007706,-1.0,0.06400093219112814,0.011993844207061052,0.0,119,23,0
576,168,2022-01-24 01:00:00,2022-01-31 01:00:00,6.584903866270917,3.750194649452987,-1.0,0.06846385672192888,0.01094056476171622,0.0,119,20,0
600,168,2022-01-25 01:00:00,2022-02-01 01:00:00,6.6339705247637575,4.163544928626811,-1.0,0.028376159463257767,0.006902933647227815,0.0,119,25,0
624,168,2022-01-26 01:00:00,2022-02-02 01:00:00,6.591959913370268,4.328978781776999,-1.0,0.03178507498625972,0.00570478756091298,0.0,119,28,0
648,168,2022-01-27 01:00:00,2022-02-03 01:00:00,6.562459797996171,4.017084708230618,-1.0,0.03178507498625972,0.006783904829877026,0.0,119,25,0
672,168,2022-01-28 01:00:00,2022-02-04 01:00:00,6.619385579379657,4.2681733424670405,-1.0,0.03451015540432213,0.004172979164669668,0.0,119,27,0
